Fakultet,,,,,,,,,
FDU,Kategorija,Potkategorija,Naslov,Godina,Autor,Izdavac,Tagovi,Link do knjige,Opis
,Interactive Media Design,,,,,,,,
,,Video Game Design,,,,,,,
,,,"Authoring Collaborative Multiplayer Games
Game Design Patterns, Structural Verification, Collaboratice Balancing and Rapid Prototyping",2016,Christian Reuter,Universität Darmstadt,"design, design patterns, programming, video games",https://drive.google.com/file/d/1NUVD0SZ3Eb1BSJmsETBQ05IMFYSguUzV/view?usp=sharing,"This thesis aims at supporting those developers by conceptualizing an authoring environment that addresses these issues. Its overall concept consists of three steps or four modules: Game design patterns as player interaction templates, a formal analysis concerning structural errors and collaborative balancing as well as a rapid prototyping environment."
,,,Blender Basics Classroom Tutorial Book,2011,James Chronister,Desktop publishing,"3D, animation, blender, design, NURBS, particle system, ray-tracing",https://drive.google.com/file/d/18kYdx0GmhDL_f8UIOd003bvlpyqoGVZ7/view?usp=sharing,"In this fourth edition of the basic tools of Blender, topics such as Ray-Tracing, Nurbs, the principles of animation, lighting or the camera are studied. Blender is a multiplatform computer program, specially dedicated to modeling, animation and creation of three-dimensional graphics."
,,,"The Official Blender Gamekit
Interactive for 3D Artists",2008,"Michael Kauppi  
Carsten Wartmann",Carsten Wartmann,"3D, blender, video games, graphic design, game engine",https://drive.google.com/file/d/1fCTAn2oNBRzYmICsJyaVGfyWbEKd4GsJ/view?usp=sharing ,This manual is a complete work on creating 3D Videogames using Blender's Game Engine.
,,Interaction and Animation,,,,,,,
,,,Design Your Imagination,2010,WebGuru India,www.webguru-india.com,"web design, development, 3D",https://drive.google.com/file/d/1c1uu_yBBnMSQnzU_tV5CoPOpzQRgIp7_/view?usp=sharing,This free ebook can be termed as a complete and comprehensible guide on website design. Almost every aspect of website design is exemplified in this ebook by representing ample examples. This web design ebook will definitely help the beginners to hone their creativity.
,,,Documentary Making for Digital Humanists,2021,"Darren R. Reid
Brett Sanders",Open Book Publishers,"camera, photography, video, production",https://drive.google.com/file/d/1DyCkVAqU2XRYC8J_HYNSp2Ws4NJ_6eWa/view?usp=sharing,"The book sets out the fundamentals of filmmaking, explores academic discourse on digital documentaries and online distribution, and considers the place of this discourse in the evolving academic landscape and walks its readers through the intellectual and practical processes of creating digital media and documentary projects. It is further equipped with video elements, supplementing specific chapters and providing brief and accessible introductions to the key components of the filmmaking process."
,,,Exploring Movie Construction & Production: What’s so exciting about movies?,2017,John Reich,open SUNY,"genre, theme, editing, sound, production, characters",https://drive.google.com/file/d/1y_E6JR90PrbzAXnIbEe_d0EyjlWgVXW0/view?usp=sharing,"This book covers theme, genre, narrative structure, character portrayal, story, plot, directing style, cinematography, and editing. Important terminology is defined and types of analysis are discussed and demonstrated. An extended example of how a movie description reflects the setting, narrative structure, or directing style is used throughout the book to illustrate building blocks of each theme. "
,,,Variant Analyses: Interrogations of New Media Art and Culture,2013,Patrick Licht,Institute of Network Cultures,"art, culture, mass media, social media, technology, web 2.0, social networks, education",https://drive.google.com/file/d/1omC7YAPSneTJPkeyhjs8tOJma27S8qBF/view?usp=sharing,"This collection contains essays on technology, art and culture from 1960s to 1990s."
,,,Moving Pictures: An Introduction to Cinema,2020,Russell Leigh Sharman,University of Arkansas,"movies, art, culture, production, representation, women, African American",https://drive.google.com/file/d/1zdNgPr9FSmd0iiqyz3wRal6nsht8pV4z/view?usp=sharing,Textbook for 1000- level Communication course: Introduction to Films Studies
,,,Multimedia: a multidisciplinary approach to complex issues,2012,Ioannis Karydis,	InTech,"audio, multimedia, video, software, 3d, graphic design",https://drive.google.com/file/d/1K4XYekLR1V0b8tuMDXs9p4PlhSPRmaFc/view?usp=sharing,This book tries to offer readers an overview of the field of multimedia through a multidisciplinary analysis.
,,,Multimedia,2010,"editor
Kazuki Nishi",InTech,"cross-media correlation, CSCW, image, video, mobile applications",https://drive.google.com/file/d/1I81O8Ga4UO7S5FN6iQH9WSRrk-NWXYrC/view?usp=sharing,"The aim of the book is to present the state-of-the-art research, development, and implementations of multimedia systems, technologies, and applications. All chapters represent contributions from the top researchers in this field and will serve as a valuable tool for professionals in this interdisciplinary field."
,,,The Fable of the User Centred Designer,2010,David Travis,UserFocus,"design, usability, users, UX, graphic design",https://drive.google.com/file/d/1JUPZfZwMtZhWVwCeeSufyIW30a5fFGsZ/view?usp=sharing,"In this book, you will follow the journey of a young man who discovers the three secrets of user-centered design. After reading this short fable of just 40 pages, you will understand the world of user-centered design and know how to apply it successfully to your own projects - a small book that can deliver great results."
,,,The inner life of video spheres. Theory for the YouTube Generation,2013,Andreas Treske,Network Notebooks,"art, communication, internet, mass media, multimedia, social media, video, youtube",https://drive.google.com/file/d/1d96VzYT9sDIo97F8T8V_MyzGsAO32nUr/view?usp=sharing,"The following text is an essay about online video. Its aim is to rethink online video as a complex ecosystem and artificial sphere of existence. Its status has shifted from being merely close to us to being together with us. To state this in a more radical way, we are ‘with’ online video in the world. This ‘with’ will be explored in this essay."
,,,Urban Screens Reader,2009,"Editors:
Scott McQuire
Meredith Martin
Sabine Niederer",Hogeschool van Amasterdam University,"architecture, art, education, information, policy, social media, technology",https://drive.google.com/file/d/1H6jD1GjIQXjacqccFoxBEAz-5xusZ4bP/view?usp=sharing,"Urban screens of various scale – from the small handheld screens of mobile phones to the large screens dominating the streetscapes of global cities – exemplified a new urban paradigm produced by the layering of physical space and media space, resulting in what has been variously called ‘Hertzian’, ‘hybrid’, ‘mixed’, ‘augmented’ or ‘stereoscopic’ space. This book explores this new environment."
,,Multimedia,,,,,,,
,,,"Digital Video Concepts, Methods, and Metrics
Quality, Compression, Performance, and Power Trade-off Analysis
",2014,Shahriar Akramullah,"Apress, Berkeley, CA","computer graphics, media design, multimedia, information systems, video",https://drive.google.com/file/d/1cy8dUEPkgS_sFhSQhaZ58vjo2llpj-VT/view?usp=sharing,"This book focuses on giving the reader mastery over the concepts, methods and metrics of digital video coding, so that readers have sufficient understanding to choose and tune coding parameters for optimum results that would suit their particular needs for quality, compression, speed and power."
,,,"VR Technologies in Cultural Heritage
First International Conference, VRTCH 2018, Brasov, Romania, May 29–30, 2018, Revised Selected Papers",2019,"Editors
Mihai Duguleană
Marcello Carrozzino
Matjaž Gams
Iulian Tanea","Springer, Cham","computer systems, image processing, computer vision, human computer interaction, data structures, data mining, pattern recognition",https://drive.google.com/file/d/1S9YxTihIYzbDlUSkTaT24_hZN9FNe2KC/view?usp=sharing,"This open access book constitutes the refereed proceedings of the First International Conference on VR Technologies in Cultural Heritage, VRTCH 2018, held in Brasov, Romania in May 2018. The 13 revised full papers along with the 5 short papers presented were carefully reviewed and selected from 21 submissions. The papers of this volume are organized in topical sections on data acquisition and modelling, visualization methods / audio, sensors and actuators, data management, restoration and digitization, cultural tourism."
,Graphic Design,,,,,,,,
,,,An Idiot's Guide to Photoshop II,2012,Azamat “Bohed” E.,	makeuseof.com,"photoshop, graphic design, 3d, Adobe, computer application",https://drive.google.com/file/d/1uUg-kWkb-ilapQghGJNpHfJmycpQkPpU/view?usp=sharing,This guide tries to bring the full power of this software in the simplest terms to a variety of users. 
,,,"An Idiot's Guide to Photoshop III
Pro Tips",2012,Azamat “Bohed” E.,	makeuseof.com,"photoshop, graphic design, 3d, Adobe, computer application",https://drive.google.com/file/d/1Ba__2xcJ-rFBOFSaDomX3rhpXpJhNRE4/view?usp=sharing,This guide tries to bring the full power of this software in the simplest terms to a variety of users. With this third installment of the 'Guide for Idiots' we are looking for even the most novice user to be able to create their own compositions with the powerful Adobe package.
,,,BC Open Textbook Accessibility Toolkit,2015,"Amanda Coolidge
 Sue Doner
Tara Robertson",BCCampus,"accessibility, color, design, usability, 3D",https://drive.google.com/file/d/10SQwH7csRAVQLUYPceNqFPMHVbl-jmAN/view?usp=sharing,The Accessibility Toolkit was created as part of the B.C. Open Textbook Project. The B.C. Open Textbook Project began in 2012 with the goal of making post-secondary education in British Columbia more accessible by reducing student cost through the use of openly licensed textbooks.
,,,Bootcamp Bootleg,2011,/,Institute of Design at Stanford,"communication, design, design thinking",https://drive.google.com/file/d/1bfOBtO7Q2jOdOMh9gHTBl3z_HV-Brats/view?usp=sharing,"This compilation is intended as an active toolkit to support your design thinking practice.The bootleg is a working document, which captures some of the teaching we impart in ""design thinking bootcamp"", our foundation course. "
,,,Color Image Processing,2018,"editors
Edoardo Provenzi ",MDPI,"color, design, image processing",https://drive.google.com/file/d/12B24MeC4h-p9l6YXUQVWe1Xkw_cfX9P9/view?usp=sharing,The intent of this Special Issue is to provide a framework where scientists in several different disciplines related to color can find a place to illustrate their ideas and results.
,,,Creative Aid Handbook,2013,various,Kooroo Kooroo,"art, creativity, design, feng Shui, interfaces, psychology",https://drive.google.com/file/d/1yE52UyLO-wigSBGhBfVUd7ZsD9fD3w3K/view?usp=sharing,"This book is a guide which serves as 'a mini resource for your creative projects and food for your creative thoughts', the book hopes to give designers a 'creative push' in the right direction.The book itself can be used as a digital collection of supplies and equipment providing first aid creative care."
,,,Critique of Creativity,2011,"Editors:
Gerald Raunig,
Gene Ray &
Ulf Wuggenig ",May Fly,"art, creativity, design, culture",https://drive.google.com/file/d/1CCpvLlwoWz-kg89HFnRb_ZsUsE-Tvv-D/view?usp=sharing,The essays collected in this book analyze this complex resurgence of the creation myth and propose a contemporary critique of creativity.
,,,Data + Design,2014,"Trina Chiasson 
Dyanna Gregory",        Self-published,"charts, design, information, statistics system, visualization",https://drive.google.com/file/d/1Y42itrOSiiXspUlegPTi0uXLdrAxqv16/view?usp=sharing,"The book’s chapters follow pretty closely the actual set of steps that need to be accomplished before data can be visualized, from the design of the survey to the collection of the data to ultimately its visualization. "
,,,Da Vinci and the 40 Answers: a playbook for creativity and fresh ideas,2008,Mark L. Fox,Wizard Academy Press,"creativity, design",https://drive.google.com/file/d/1fwfxW4l98jddgHRQtWjYS-Jqcoo2VBcT/view?usp=sharing,"The authors of this book intended to provide a book for stirring that creative mind, all the ideas that are bubbling in our heads. This can serve as an inspiration pool for those in creative industries."
,,,Drawing Futures,2016,"editor
Laura Allen ",	University College London,"architecture, art, design, drawing",https://drive.google.com/file/d/12AnEc1FcR4py7JM2q6G7WCTymk-AoJax/view?usp=sharing,"This book focuses on the discussion of how the field of drawing may expand synchronously alongside technological and computational developments. Bringing together practitioners from many creative fields, the book discusses how drawing is changing in relation to new technologies for the production and dissemination of ideas."
